,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,72.0,83,90,4.61,US,1614470051
1,Rikitea,-23.1203,-134.9692,76.6,75,6,16.31,PF,1614470051
2,Faya,18.3851,42.4509,55.4,62,0,11.5,SA,1614470051
3,Barrow,71.2906,-156.7887,-14.8,70,20,9.22,US,1614470051
4,Punta Arenas,-53.15,-70.9167,73.4,33,0,8.05,CL,1614470051
5,Mataura,-46.1927,168.8643,63.0,85,100,3.0,NZ,1614470052
6,Khovd,48.0056,91.6419,2.89,34,13,1.57,MN,1614470052
7,Constitución,-35.3333,-72.4167,61.0,75,3,16.08,CL,1614470052
8,Hermanus,-34.4187,19.2345,70.0,80,38,7.0,ZA,1614470052
9,Hobart,-42.8794,147.3294,69.01,63,75,6.91,AU,1614470052
10,Tateyama,34.9833,139.8667,44.01,37,42,1.01,JP,1614470053
11,At-Bashi,41.1702,75.8106,-0.13,76,28,2.48,KG,1614469881
12,Ushuaia,-54.8,-68.3,75.2,27,0,11.5,AR,1614469959
13,Makakilo City,21.3469,-158.0858,78.8,65,75,9.22,US,1614470053
14,Ponta do Sol,32.6667,-17.1,55.99,67,26,5.01,PT,1614470053
15,Richards Bay,-28.783,32.0377,68.49,82,71,1.41,ZA,1614469897
16,Bredasdorp,-34.5322,20.0403,69.8,83,69,12.66,ZA,1614470054
17,Muisne,0.6,-80.0333,78.57,81,34,4.07,EC,1614470054
18,Iquitos,-3.7481,-73.2472,78.8,89,75,4.61,PE,1614470054
19,Krasnosel'kup,65.7,82.4667,-31.92,98,0,5.03,RU,1614470054
20,Abhā,18.2164,42.5053,55.4,62,0,11.5,SA,1614470055
21,San Patricio,28.017,-97.5169,75.2,83,90,21.85,US,1614470055
22,Alofi,-19.0595,-169.9187,82.4,78,100,12.66,NU,1614470055
23,Albany,42.6001,-73.9662,42.01,64,68,8.03,US,1614470055
24,Corrientes,-27.4806,-58.8341,87.8,48,0,5.75,AR,1614470056
25,Qaanaaq,77.484,-69.3632,14.85,80,100,8.3,GL,1614470056
26,Kapaa,22.0752,-159.319,71.6,88,90,19.57,US,1614470056
27,Saskylakh,71.9167,114.0833,-28.84,76,39,2.06,RU,1614470056
28,Lagoa,39.05,-27.9833,58.86,86,97,13.24,PT,1614470057
29,Avarua,-21.2078,-159.775,84.2,84,75,19.57,CK,1614470057
30,Kishanpur,25.65,81.0167,68.56,32,23,1.14,IN,1614470057
31,Bengkulu,-3.8004,102.2655,76.6,75,18,3.27,ID,1614470057
32,Jamestown,42.097,-79.2353,34.0,97,40,3.69,US,1614469926
33,Vaini,-21.2,-175.2,80.6,74,75,3.44,TO,1614470058
34,Iqaluit,63.7506,-68.5145,-25.01,62,40,6.4,CA,1614470058
